OBJECTID,Código identificador,Nombre,Dirección,Teléfono,Correo electrónico,Página web,Código de localidad,Nombre de localidad,Código de UPZ,Nombre de UPZ,Estado,Clasificación,Código de Sector Catastral,Nombre de Sector Catastral,Contacto,Año,Código SIMCO,coord_x,coord_y
1,1,Casa Museo Francisco de Paula Santander,Centro Cultural Hacienda El Cedro. Carrera 7 No. *,614 75 55-2591333,casamuseosantander@gmail.com,www.centroculturalhaciendaelcedro.org,01,USAQUEN,UPZ13,LOS CEDROS,PreActivo,Privada,N.A,N.A,N.A,N.A,11001-1,"-74,02550318976063","4,725220773772273"
2,2,Casa museo Grau Fundación Enrique Grau Araujo,Calle 94 No 7 – 48,2364669 telefax 6107782,info@fundacionenriquegrau.com,www.fundacionenriquegrau.com,02,CHAPINERO,UPZ88,EL REFUGIO,Activo,Privada,N.A,N.A,N.A,N.A,11001-45,"-74,04185813072401","4,675194348711067"
3,3,Casa museo Jorge Eliécer Gaitán - Universidad Nacional de Colombia,Calle 42 No. 15 - 52,5720070,casagaitan@unal.edu.co,N.A,13,TEUSAQUILLO,UPZ101,TEUSAQUILLO,Activo,Publica,N.A,N.A,N.A,N.A,11001-2,"-74,06956780921803","4,630464733912301"
4,4,Casa museo Quinta de Bolívar,Carrera 7 No. 11 - 28,3366410 3108704294,aeraso@mincultura.gov.co,http://www.quintadebolivar.gov.co,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Publica,N.A,N.A,N.A,N.A,11001-38,"-74,0628639023399","4,602564328713005"
5,5,Casa museo Ricardo Gómez Campuzano - Asociación Cultural Banco de la República,"Calle 80 No. 8 - 54 / 66, El Retiro",2100816 - 2155180 3102833367,asocultrgomezcampuzano@gmail.com,http://www.acrgomezcampuzano.org,02,CHAPINERO,UPZ88,EL REFUGIO,Activo,Privada,N.A,N.A,N.A,N.A,11001-3,"-74,05145544286034","4,663022512816902"
6,7,Colección numismática Casa de la Moneda Banco de la República,Calle 11 No. 4 - 93,343 1208 - 3812908,Aaraujve@banrep.gov.co,www.banrepcultural.org,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Publica,N.A,N.A,N.A,N.A,11001-42,"-74,07352068842063","4,597015046891829"
7,8,Museo de la Universidad del Rosario,Calle 12 C # 6 - 25,2970200 3166170615,visitasguiadas@urosario.edu.co,http://www.urosario.edu.co/Museo/Inicio/,17,CANDELARIA,UPZ94,LA CANDELARIA,PreRegistro,Privada,N.A,N.A,N.A,N.A,No asignado,"-74,07301576606069","4,600300359782716"
8,9,Museo de La Salle,Cr 2 No 10 - 70,3346189 - 3535360 Ext: 2209 - 2214 3164668837,jespitia@lasalle.edu.co,http://www.museo.lasalle.edu.co,17,CANDELARIA,UPZ94,LA CANDELARIA,Inactivo,NoConstit*,N.A,N.A,N.A,N.A,11001-5,"-74,07089051199857","4,595129612386426"
9,10,Agro Parque Sabio Mutis,Calle 81B No. 72B - 70,+57 (1) 2916520 ext 7938 3016583868,agroparquesabiomutiscontacto@gmail.com,http://www.uniminuto.edu/web/ecna/agroparque-sabi*,10,ENGATIVA,UPZ29,MINUTO DE DIOS,PreRegistro,Privada,N.A,N.A,N.A,N.A,No asignado,"-74,08903100730276","4,698338330917888"
10,11,Fotomuseo Museo Nacional de la Fotografía,"Avenida 19 # 3 - 50, oficina 602, Torre A, Edific*",282 76 15,fotomuseobogota@fotomuseo.org,http://www.fotomuseo.org,03,SANTA FE,UPZ93,LAS NIEVES,PreActivo,Privada,N.A,N.A,N.A,N.A,11001-6,"-74,06848737039154","4,603519325902944"
11,12,Fundación Enrique Grau Araujo,CALLE 94 N.7-48,2364669 3118431536,gestion@fundacionenriquegrau.com,www.fundacionenriquegrau.com,02,CHAPINERO,UPZ88,EL REFUGIO,PreActivo,Privada,N.A,N.A,N.A,N.A,No asignado,"-74,04198164188907","4,675249858944455"
12,14,Maloka ciencia y tecnología interactiva,Carrera 68 D No. 24 A 51,427 2707 Ext. 1001,sfalla@maloka.org,www.maloka.org,09,FONTIBON,UPZ110,CIUDAD SALITRE OCCIDENTAL,Activo,Mixta,N.A,N.A,N.A,N.A,11001-7,"-74,10962483039395","4,655342355046726"
13,15,Museo Aeroespacial Colombiano,Comando de transporte militar - CATAM; Avenida el*,4397800 ext. 2066 3125269397,museo@fac.mil.co,www.fac.mil.co,09,FONTIBON,UPZ117,AEROPUERTO EL DORADO,Activo,Publica,N.A,N.A,N.A,N.A,11001-44,"-74,15005688203135","4,70120668295188"
14,16,Museo arqueológico Casa del Marqués de San Jorge Musa,Carrera 6 No. 7- 43,2431048 - 2430465,d.rojas@musa.com.co,http://www.museoarqueologicomusa.com,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Privada,N.A,N.A,N.A,N.A,11001-8,"-74,07621312617671","4,5948898230432915"
15,17,Museo arqueológico e histórico de Santa María de la Antigua del Darién,Calle 12 # 2-38,031-4440544 ext 164 3114894338,asarcina@icanh.gov.co,http://www.icanh.gov.co/,17,CANDELARIA,UPZ94,LA CANDELARIA,PreRegistro,Privada,N.A,N.A,N.A,N.A,No asignado,"-74,07063123395307","4,596580999120751"
16,18,Museo Botero del Banco de la República,Calle 11 No. 4 - 41,343 12 70-72 - 3812908- 343 1224,scastaga@banrep.gov.co,http://www.banrepcultural.org,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Publica,N.A,N.A,N.A,N.A,11001-9,"-74,07306081028398","4,596728148041632"
17,19,Museo Casa Caldas Escuela de Ingenieros Militares Ejército Nacional de Colombia,Carrera 8 No. 6C-73,2896275 3017321513,museocasacaldasbogota@gmail.com,N.A,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,NoConstit*,N.A,N.A,N.A,N.A,11001-50,"-74,07873522628695","4,594619614124423"
18,20,Fundación Museo Ciencias de la Salud,Calle 13 #32-44 piso 8º,7443333 ext 144 3123040878,museosalud@hotmail.com,N.A,16,PUENTE ARANDA,UPZ108,ZONA INDUSTRIAL,Activo,Privada,N.A,N.A,N.A,N.A,11001-56,"-74,09423353738866","4,615877080041075"
19,22,Museo claustro de San Agustín Universidad Nacional de Colombia,Carrera 8 N° 7 - 21,3421803 - 3422340 3174271924,museos@unal.edu.co,http://www.museos.unal.edu.co,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Publica,N.A,N.A,N.A,N.A,11001-32,"-74,07858118587697","4,595232534643732"
20,23,Museo Colonial,Carrera 8 No 8-91,5713424100,museocolonial@mincultura.gov.co,www.museocolonial.gov.co,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Publica,N.A,N.A,N.A,N.A,11001-16,"-74,0752679915983","4,596525771033825"
21,24,Museo de arquitectura Leopoldo Rother UNAL,"Carrera 30 Nº 45-03, edificio 207",3165000 Ext.: 16901 – 16902,musalr_bog@unal.edu.co,N.A,13,TEUSAQUILLO,UPZ104,PARQUE SIMON BOLIVAR - CAN,Activo,Publica,N.A,N.A,N.A,N.A,11001-43,"-74,08317573528026","4,633991777700681"
22,25,Museo de arte contemporáneo,CALLE 81 B No. 72 B -70,2916520 EXTENSIÓN 6160 3173678365,wilmar.tovar@uniminuto.edu,http://mac.org.co/,10,ENGATIVA,UPZ29,MINUTO DE DIOS,Activo,Privada,N.A,N.A,N.A,N.A,11001-39,"-74,09066201907532","4,69762029809286"
23,26,Museo de Arte del Banco de la República,CL 10 N° 4 - 60,3431212,erianole@banrep.gov.co,www.banrepcultural.org,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Privada,N.A,N.A,N.A,N.A,11001-41,"-74,07370654536135","4,596091809821105"
24,27,Museo de arte moderno de Bogotá MAMBO,Calle 24 No. 6 - 00,286 0466 - 281 7710,direccion@mambogota.com,www.mambogota.com,03,SANTA FE,UPZ93,LAS NIEVES,Activo,Privada,N.A,N.A,N.A,N.A,11001-26,"-74,0695498869298","4,609823470749934"
25,28,Museo de Arte Universidad Nacional de Colombia,"Carrera 30 # 45 - 03, Ciudad Universitaria. Edifi*",316 5000 Ext. 11992/11993/11994/11995,museo_arte@unal.edu.co,www.patrimoniocultural.unal.edu.co/,13,TEUSAQUILLO,UPZ104,PARQUE SIMON BOLIVAR - CAN,Activo,Publica,N.A,N.A,N.A,N.A,11001-11,"-74,08088550471791","4,634545003394094"
26,29,Museo de Arte y Cultura Colsubsidio,CL 36 No. 5 A - 19 La Merced,7420100,museo@colsubsidio.com,http://www.colsubsidio.com,03,SANTA FE,UPZ102,LA SABANA,Inactivo,Privada,N.A,N.A,N.A,N.A,11001-27,"-74,06504077000497","4,6226571663293665"
27,31,Museo de Artes Visuales de la UJTL,Carrera  4 No. 22 - 40 piso 2.,"2427030 ext 1404, 1405",museoartesvisuales@utadeo.edu.co,www.utadeo.edu.co,03,SANTA FE,UPZ93,LAS NIEVES,PreActivo,Privada,N.A,N.A,N.A,N.A,11001-19,"-74,0675343468083","4,606506360921963"
28,32,Museo de Bogotá IDPC - Casa de los Siete Balcones,Calle 10 No. 3 – 61,2820488,conservacionmdb@idpc.gov.co,http://www.facebook.com/museodebogota,17,CANDELARIA,UPZ94,LA CANDELARIA,Activo,Publica,N.A,N.A,N.A,N.A,11001-31,"-74,07288993364895","4,595421347188351"
29,33,Museo de ciencias naturales de la Universidad El Bosque,Crr 9 # 131 a 02,648900 ext 1596,museodeciencias@unbosque.edu.co,N.A,01,USAQUEN,UPZ14,USAQUEN,Activo,Privada,N.A,N.A,N.A,N.A,11001-51,"-74,032305612181","4,710185806411482"
30,34,Museo de Historia de la Medicina Colombiana - Andrés Soriano Lleras,Carrera 7 No. 69 - 05,249 3122 - 345 88 90,presidencia@anmdecolombia.org.co,http://www.anmdecolombia.co,02,CHAPINERO,UPZ97,CHICO LAGO,Activo,Publica,N.A,N.A,N.A,N.A,11001-12,"-74,05757552924544","4,651577357071048"
31,35,Museo de Historia de la Medicina Academia Nacional de Medicina de Colombia,Cra 7a # 69-11,345 8890 3182618818,com_museo@anmdecolombia.org.co,http://anmdecolombia.net/index.php/39-home/seccio*,02,CHAPINERO,UPZ97,CHICO LAGO,Activo,Privada,N.A,N.A,N.A,N.A,11001-49,"-74,05751506094872","4,651678439229529"
