day,exercise,reading
2023-12-31,FALSE,TRUE
2023-12-30,FALSE,FALSE
2023-12-29,TRUE,FALSE
2023-12-28,TRUE,TRUE
2023-12-27,TRUE,TRUE
2023-12-26,FALSE,TRUE
2023-12-25,TRUE,FALSE
2023-12-24,FALSE,TRUE
2023-12-23,FALSE,TRUE
2023-12-22,FALSE,TRUE
2023-12-21,TRUE,TRUE
2023-12-20,FALSE,FALSE
2023-12-19,FALSE,TRUE
2023-12-18,FALSE,FALSE
2023-12-17,FALSE,TRUE
2023-12-16,FALSE,FALSE
2023-12-15,FALSE,TRUE
2023-12-14,FALSE,FALSE
2023-12-13,TRUE,TRUE
2023-12-12,FALSE,TRUE
2023-12-11,FALSE,TRUE
2023-12-10,TRUE,FALSE
2023-12-09,TRUE,TRUE
2023-12-08,FALSE,FALSE
2023-12-07,TRUE,TRUE
2023-12-06,FALSE,FALSE
2023-12-05,TRUE,TRUE
2023-12-04,FALSE,FALSE
2023-12-03,TRUE,TRUE
2023-12-02,TRUE,FALSE
2023-12-01,FALSE,TRUE
2023-11-30,TRUE,TRUE
2023-11-29,TRUE,FALSE
2023-11-28,FALSE,TRUE
2023-11-27,TRUE,TRUE
2023-11-26,FALSE,FALSE
2023-11-25,TRUE,FALSE
2023-11-24,TRUE,FALSE
2023-11-23,FALSE,FALSE
2023-11-22,TRUE,TRUE
2023-11-21,TRUE,FALSE
2023-11-20,TRUE,TRUE
2023-11-19,FALSE,TRUE
2023-11-18,TRUE,TRUE
2023-11-17,TRUE,TRUE
2023-11-16,TRUE,TRUE
2023-11-15,FALSE,FALSE
2023-11-14,FALSE,FALSE
2023-11-13,TRUE,FALSE
2023-11-12,TRUE,FALSE
2023-11-11,TRUE,FALSE
2023-11-10,FALSE,TRUE
2023-11-09,FALSE,TRUE
2023-11-08,TRUE,FALSE
2023-11-07,TRUE,FALSE
2023-11-06,FALSE,FALSE
2023-11-05,TRUE,FALSE
2023-11-04,FALSE,FALSE
2023-11-03,FALSE,FALSE
2023-11-02,FALSE,TRUE
2023-11-01,FALSE,FALSE
2023-10-31,FALSE,FALSE
2023-10-30,TRUE,TRUE
2023-10-29,FALSE,TRUE
2023-10-28,TRUE,TRUE
2023-10-27,TRUE,TRUE
2023-10-26,FALSE,FALSE
2023-10-25,FALSE,FALSE
2023-10-24,FALSE,TRUE
2023-10-23,FALSE,FALSE
2023-10-22,TRUE,FALSE
2023-10-21,FALSE,FALSE
2023-10-20,FALSE,FALSE
2023-10-19,TRUE,TRUE
2023-10-18,FALSE,FALSE
2023-10-17,TRUE,FALSE
2023-10-16,FALSE,TRUE
2023-10-15,TRUE,FALSE
2023-10-14,TRUE,FALSE
2023-10-13,FALSE,FALSE
2023-10-12,TRUE,TRUE
2023-10-11,FALSE,FALSE
2023-10-10,TRUE,FALSE
2023-10-09,FALSE,FALSE
2023-10-08,FALSE,FALSE
2023-10-07,TRUE,FALSE
2023-10-06,TRUE,FALSE
2023-10-05,TRUE,TRUE
2023-10-04,TRUE,FALSE
2023-10-03,TRUE,TRUE
2023-10-02,FALSE,FALSE
2023-10-01,TRUE,TRUE
2023-09-30,TRUE,FALSE
2023-09-29,TRUE,FALSE
2023-09-28,TRUE,FALSE
2023-09-27,TRUE,FALSE
2023-09-26,TRUE,FALSE
